calving,daysrec,ck,ast,urea,pcv,inflamat,myopathy,outcome
after,1,3000,590,10.9,41,no,NA,survived
after,4,12100,1240,23.8,NA,NA,present,survived
after,0,600,207,8.1,31,yes,NA,died
after,1,590,113,14.6,43,NA,NA,died
after,2,1800,243,12.3,48,NA,absent,died
before,6,380,150,NA,28,yes,absent,died
after,4,1300,303,3.1,30,yes,absent,died
after,1,830,93,6.5,37,yes,NA,survived
after,0,2700,240,9.9,30,NA,NA,died
after,1,1800,740,5.8,34,no,present,died
after,4,200,80,5.8,34,yes,absent,died
before,0,7400,490,5.6,23,no,NA,died
after,2,620,150,7.6,35,yes,absent,survived
after,NA,910,110,12.7,NA,NA,NA,survived
after,1,140,67,8.6,33,NA,NA,survived
after,2,500,107,5.5,41,yes,absent,survived
after,2,160,83,15.3,31,NA,absent,died
after,0,91,213,7.1,27,yes,NA,survived
after,0,680,90,11.6,19,yes,NA,survived
after,6,4200,527,9,31,yes,present,died
after,1,592,157,10.6,NA,yes,NA,died
after,1,2600,480,9.5,32,yes,NA,died
after,1,13000,2400,7.5,42,yes,present,died
after,2,13000,450,3.9,29,yes,present,died
after,1,980,150,6,39,yes,absent,died
before,3,2600,910,4.2,20,NA,present,died
before,0,11000,313,7.3,NA,NA,NA,died
before,3,2300,590,6.1,34,yes,absent,died
after,1,85,NA,10,NA,NA,NA,survived
after,0,286,57,5.6,35,no,NA,survived
after,0,130,NA,20.3,49,yes,NA,died
after,0,1106,143,11.8,47,no,NA,survived
before,0,20,33,8.9,30,yes,NA,died
before,8,NA,320,4.5,27,yes,NA,died
after,0,71000,2200,21,NA,NA,present,died
after,1,820,100,6.3,NA,NA,NA,survived
before,3,521,133,8.5,31,no,absent,died
after,0,32670,740,11.8,48,yes,present,died
after,0,325,120,14.5,38,yes,NA,died
after,2,980,173,4.8,38,NA,absent,survived
after,1,12886,783,4.1,NA,NA,present,died
before,0,8330,957,4.7,NA,NA,present,died
after,0,7289,333,5.9,NA,NA,NA,died
after,0,8057,347,12.9,27,NA,NA,died
after,1,3905,203,12.3,37,NA,NA,died
after,3,3085,227,7.2,33,yes,absent,survived
before,1,3905,240,1,27,yes,NA,died
after,1,1952,210,10.7,NA,NA,NA,died
after,4,26,53,8.7,NA,NA,absent,died
before,2,14057,457,4.2,NA,NA,present,died
after,0,2668,200,10.4,34,yes,NA,died
after,0,130,87,6.7,32,yes,NA,survived
after,0,260,140,6.5,42,NA,NA,survived
after,1,20826,1800,12.9,NA,NA,present,died
before,0,2323,167,6.1,41,no,NA,survived
after,0,790,97,6.3,NA,NA,NA,died
after,0,590,87,6.7,NA,NA,NA,survived
after,0,35000,1900,5.2,40,NA,present,died
before,2,11975,457,7.6,NA,NA,present,died
before,1,1067,93,6.3,NA,NA,absent,survived
after,3,6248,897,11.8,NA,NA,present,died
after,2,7419,537,13.8,NA,NA,absent,died
after,4,1302,453,5,37,yes,absent,died
before,0,5206,423,6.6,24,yes,NA,died
after,0,443,74,9.2,38,no,NA,died
after,3,3300,370,4.2,35,yes,absent,died
after,0,680,370,6.9,NA,NA,NA,survived
before,8,NA,820,7.2,34,yes,present,died
before,2,1100,140,6.6,NA,NA,absent,survived
after,1,1803,127,8.6,NA,NA,absent,died
after,0,13,43,8,NA,NA,NA,survived
after,0,390,53,9.3,35,yes,NA,survived
after,2,390,107,9.8,35,no,absent,survived
after,1,4900,270,8.1,NA,NA,NA,survived
after,1,3449,243,11.7,39,yes,absent,died
after,0,640,53,5.1,33,yes,NA,survived
after,2,140,60,6.9,NA,NA,absent,survived
after,1,340,130,8.5,30,NA,NA,died
before,0,52,47,7.2,39,no,NA,survived
before,0,2700,310,9.8,30,NA,NA,died
before,0,230,160,5.6,34,NA,NA,survived
before,1,36000,440,9.8,51,NA,present,died
before,1,3500,170,3.6,NA,NA,NA,survived
after,3,2206,900,5.1,NA,NA,present,survived
before,1,1341,80,9.6,33,NA,NA,survived
before,2,4165,713,7.2,40,NA,present,died
after,0,104,70,6.9,NA,NA,NA,survived
after,4,2500,510,11,40,no,absent,died
before,1,2700,150,50,47,NA,NA,died
after,0,400,100,6.4,40,NA,NA,survived
after,0,1692,307,6.3,NA,NA,NA,survived
after,2,21000,150,7.9,NA,NA,present,died
before,0,21000,590,7.1,40,no,present,died
before,9,NA,493,5,39,NA,NA,died
after,2,32930,683,30,41,yes,present,died
before,0,1549,107,11,NA,NA,NA,died
before,2,3775,163,3,42,no,absent,survived
after,3,44254,1263,7,NA,NA,present,died
after,0,703,93,8.9,NA,NA,NA,survived
after,1,54016,937,26,34,yes,present,died
after,2,2603,660,7,31,yes,present,died
before,1,5662,437,7.8,NA,NA,NA,died
after,0,5100,877,6.3,NA,NA,present,died
after,1,10673,517,17.2,32,no,NA,died
after,5,1302,187,4.5,32,no,absent,survived
after,0,716,163,7,42,yes,NA,survived
after,3,1600,440,6.4,NA,NA,absent,died
after,1,1367,213,10.5,38,yes,NA,survived
after,4,1431,430,10,35,yes,absent,died
after,4,3153,253,4.8,35,yes,absent,survived
after,1,11844,676,20.9,43,no,present,died
after,2,240,143,3,32,no,absent,survived
after,3,355,123,6,27,yes,absent,survived
after,0,7874,313,10.1,32,no,NA,survived
after,0,210,175,21,34,NA,NA,died
after,1,3990,312,12,38,no,absent,died
after,1,2900,447,14.3,36,NA,NA,died
after,0,260,147,8.4,32,NA,NA,survived
after,3,540,253,4,31,yes,absent,survived
after,1,260,133,7.6,35,yes,NA,survived
after,2,230,130,15.7,61,yes,absent,died
after,2,911,180,4.6,36,yes,absent,died
after,0,960,180,8.9,34,yes,NA,survived
after,3,1200,180,5.7,33,yes,absent,died
after,1,790,93,4.8,NA,NA,absent,died
after,2,2343,220,10.9,NA,NA,absent,survived
after,3,2733,420,5.5,NA,NA,absent,died
after,2,911,230,9.1,NA,NA,absent,died
