richTot,richPicco,nutenti,nFail
11122,1006,60,1
14640,1107,55,4
12247,1024,70,5
9495,836,67,3
14863,977,57,2
10257,1148,56,2
11927,801,70,1
16398,978,53,2
12903,826,69,3
9106,1198,68,3
14419,958,63,4
14820,1160,76,5
14531,900,74,2
14098,1136,59,2
14618,800,69,3
15486,1139,64,3
15548,833,66,0
11467,954,62,0
9917,1002,75,5
9882,1151,70,10
8021,1020,68,5
13450,942,54,1
11199,981,54,2
14582,849,73,0
9416,817,56,2
16986,864,50,1
12816,920,55,2
15303,1095,52,3
10157,984,55,4
14509,1038,52,1
9961,841,58,0
13445,1163,65,8
12880,851,55,2
9809,1179,59,4
16686,855,50,1
8651,1068,63,0
14684,1193,71,8
12709,1025,52,2
14390,1018,54,5
12426,875,66,1
10967,1177,73,7
11976,939,59,1
11613,875,51,0
12227,1021,73,3
8089,1016,56,3
16290,962,61,2
12408,972,66,2
8833,867,59,1
15274,906,60,2
13502,934,57,1
12305,825,72,0
16139,832,57,1
11783,1128,64,4
8409,1145,51,9
8541,1160,68,4
16642,1165,63,4
16905,1096,67,8
16959,949,75,4
8194,994,54,1
13078,856,74,0
12254,923,61,3
11961,950,72,5
16225,1015,55,2
8121,1125,69,7
10112,891,65,2
16474,834,50,1
13928,827,61,0
12533,853,60,0
14703,1053,67,1
8840,884,73,2
16063,970,73,1
12033,903,77,1
8907,860,70,2
9375,952,66,1
10509,864,70,2
12722,1145,56,6
13536,829,50,2
9446,947,65,1
9523,932,56,2
13624,877,51,0
14037,993,76,5
9453,829,76,1
9158,1004,71,4
12843,1146,62,2
14011,992,76,4
16528,1175,56,6
8323,949,74,2
12602,865,53,4
9112,1043,68,1
15335,948,58,2
9155,1092,55,5
11949,999,57,2
10648,1164,55,4
15467,1050,73,0
16985,945,74,2
9029,1081,75,4
13462,1119,71,4
