y roach1 treatment senior
7 1.67 1 0
7 3 1 0
0 0 1 0
2 1 0 0
0 138.25 0 0
21 16 0 0
0 97 0 0
136 44 0 0
5 75 0 0
1 2 0 0
203 342.5 0 0
32 22.5 0 0
1 4 0 0
135 94 0 0
29 80 0 0
120 95 0 0
1 19 0 0
2 25 0 0
193 57.5 0 0
13 3.11 0 0
37 10.5 0 0
2 47 0 0
0 2.63 0 0
3 204 0 0
0 0 0 0
0 0 0 0
0 14.88 0 0
19 51 0 0
4 15 0 0
48 13.75 0 0
0 1.17 0 0
0 1 0 0
3 2 0 0
0 0 0 0
9 2 0 0
0 7 0 0
12 18 0 0
357 266 0 0
60 252 1 0
159 372.5 1 0
50 42 1 0
178 263 1 0
6 1.75 1 0
33 13.13 1 0
127 154 1 0
4 21 1 0
63 220 1 0
88 38.32 1 0
0 7 1 0
0 4 1 0
62 59.5 1 0
4 7.5 1 0
38 172 1 0
0 13 1 0
3 18 1 0
1 0 1 0
14 27 1 0
77 148 1 0
21 28 1 0
1 0 1 0
45 28 1 0
0 5 1 1
0 0 1 1
183 27 1 1
28 132 1 1
49 258 1 1
1 1 1 1
0 2 1 1
0 6 1 1
0 0 1 1
0 0 1 1
0 0 1 1
18 1.25 1 1
0 0 1 1
0 16 1 1
5 123.67 1 1
27 82.5 1 1
0 1.25 1 1
77 171 1 1
1 91.88 1 1
3 5 1 1
2 7 1 1
0 0 1 1
0 4 1 1
22 53.75 1 1
0 1.25 1 1
0 15 1 1
0 0 1 1
0 33 1 1
0 0 1 1
1 3 1 1
40 68 1 1
0 0 1 1
1 49 1 1
2 27.13 1 1
27 45.5 1 0
2 4 1 0
0 0 1 0
0 0 1 0
1 0 1 0
0 0 1 0
0 0 1 0
0 0 1 0
0 0 1 0
0 2 1 0
15 10 1 0
0 5 1 0
38 23.33 1 0
34 55 1 0
109 16.25 1 0
15 53 1 0
0 2 1 0
64 73 1 0
0 0 1 0
1 3.18 1 0
7 0 0 0
1 1 0 0
0 0 1 0
3 12 1 0
3 17 1 0
0 16 1 0
50 111 1 0
0 0 1 0
19 3 1 0
5 2.1 1 0
17 0 1 0
121 49 1 0
1 1.25 1 0
0 1 1 0
0 0 1 0
14 2 0 0
0 1.5 0 0
37 19 0 0
7 0 0 0
19 0 0 0
24 5.44 0 0
91 0 0 0
1 3 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
26 3 0 1
12 2 0 1
77 135 0 1
0 0 0 1
7 68.25 0 1
0 1 0 1
1 0 0 1
0 1 0 1
7 1 0 1
50 13.13 0 1
0 0 0 1
0 0 0 1
171 0 0 1
8 0 0 1
